from_baseline	to_baseline	change	old_value	new_value	path
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	dd8eea00c1093b4b4157ee8912b8af732caa011ba3a69be57dca327a39ffdf79	0c58b62652caee9dac1914ad5c3505d20304e9a429986422d77da1a428114452	CHANGELOG.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	193b49e03ef713bce3aedbe3cf8af32c80d5b52376f3230997aa8c2ad04a30c9	5aab6465b24e752cc38d8f00f039ec8b91267517c9fb5fd3300a1971fc26b1ed	docs/design/migration_djc_tests.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	missing		docs/design/extension_commands.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	0e72aa6771ab409f99d5d017edccd0c56e19f753abc5f78089c377ffaab9d27d	76fbf039b84b1bfa0af394cb636e287b196fb7f95f74943f406832e458296646	docs/design/ui_library_plan.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	6199546b65e965326bc9f94385d85747591dfc7e1e5ca23611e1d0dc29d7f467	ee70831d2308d439f8e066fb22a89c63d375a3d45fe056d709faa41cdd0e72aa	docs/design/ui_research/README.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	0cfa287403b8b79fc278560e2cdb476c60f1a9ea995d8910baf5fc59da641923	7f2c4380ceb164791bd5c27767abfd8f3a9ba433efb84ffa988dbf186f1452d6	docs/design/ui_research/architecture-options.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	fdd117e2c6863be2000f662cef2976f87a391529322539b071c1d62fc480ad7d	2b52ace22c4c4dfdae8711353889b7d09bbaa2756f1770769823ea06a469e1e7	docs/design/ui_research/citry-fit-matrix.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	18cde0d685b6c5c1439febafc7f09e98f6bfef9d32481dd97439032871f400ed	d4bb5f72d82ecb5e2558b03e52e36cbb32b12f29bf2631635120fa589961bb22	docs/design/ui_research/product-charter.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	3c62c5c695c67b2324abf7445a4ee99e2bf471147b6fc332cd98df965257e6c2	c4e678b0973167c1915426f0f0fac57e210522f23cfd8c6968d79587c22bcdbf	docs/design/v1_beta_launch_plan.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	493f026f3db75d2bab091693587805828b9d307cec79dbb3cb2d02388bd08a0f	72f8e18d74c8d2f16acfe46ce8cc44c120d07997b69cb30652ad32010027a81e	docs/design/v1_beta_research/README.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	3b115ae8d3f3ab36c51c6cc0a36d72b047419e48e22b177fbc2eff0871e39636	ef556acb4d69d937b28faeb38f4d6e7d960bd5d05d2995e3e5dc134c5032f3d5	docs/design/v1_beta_research/baseline_history.tsv
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	added_to_dirty_set		??	docs/design/v1_beta_research/product_beta_charter.md
