baseline	artifact_id	artifact_type	source_locator	public_locator	nav_location	title	source_kind	consumer_locators	generated_outputs	test_locators	evidence_state	inventory_state	notes
DC1-20260726T101722Z-9d1a8636	page:home	content_page	docs_site/content/index.md	/	Docs>Home	Citry	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_pipeline.py;docs_site/tests/e2e/test_docs_e2e.py	mixed-test-mapped	complete	explicit title and description; default index/search/canonical metadata; nav title: Home
DC1-20260726T101722Z-9d1a8636	page:getting-started/installation	content_page	docs_site/content/getting-started/installation.md	/getting-started/installation/	Docs>Getting started	Install Citry	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_getting_started_content.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/e2e/test_docs_e2e.py	mixed-test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:getting-started/your-first-component	content_page	docs_site/content/getting-started/your-first-component.md	/getting-started/your-first-component/	Docs>Getting started	Your first component	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_content_snapshot.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:getting-started/parametrising-components	content_page	docs_site/content/getting-started/parametrising-components.md	/getting-started/parametrising-components/	Docs>Getting started	Use data in a component	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_getting_started_content.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:getting-started/components-in-templates	content_page	docs_site/content/getting-started/components-in-templates.md	/getting-started/components-in-templates/	Docs>Getting started	Build a page from components	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_getting_started_content.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:getting-started/adding-slots	content_page	docs_site/content/getting-started/adding-slots.md	/getting-started/adding-slots/	Docs>Getting started	Add flexible content	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_getting_started_content.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:getting-started/browser-interactivity	content_page	docs_site/content/getting-started/browser-interactivity.md	/getting-started/browser-interactivity/	Docs>Getting started	Add browser behavior	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_getting_started_content.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	browser acceptance waits for the plain-Alpine activation implementation; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:getting-started/client-props-and-handlers	content_page	docs_site/content/getting-started/client-props-and-handlers.md	/getting-started/client-props-and-handlers/	Docs>Getting started	Connect components in the browser	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_getting_started_content.py;docs_site/tests/e2e/test_getting_started_journey_e2e.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	mixed-test-mapped	complete	exact standalone client-prop and parent-handler flow verified in Chromium
DC1-20260726T101722Z-9d1a8636	page:getting-started/fastapi	content_page	docs_site/content/getting-started/fastapi.md	/getting-started/fastapi/	Docs>Getting started	Serve the page with FastAPI	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_getting_started_content.py;docs_site/tests/e2e/test_getting_started_journey_e2e.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	mixed-test-mapped	complete	carries the browser components into the executable three-file server app and verifies them over HTTP; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:getting-started/call-python	content_page	docs_site/content/getting-started/call-python.md	/getting-started/call-python/	Docs>Getting started	Call Python from a click	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_getting_started_content.py;docs_site/tests/e2e/test_getting_started_journey_e2e.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	mixed-test-mapped	complete	stateless Events round trip verified through the shared tutorial app
